,mmsi,time,lon,lat,imo,vessel_name,dim_bow,dim_stern,dim_port,dim_star,ship_type,ship_type_txt
0,316003980,1479133267,-55.8635433333,52.52917,9187409,STEN FJORD,120,25,21,,70,Cargo ships
1,316003980,1479133309,-55.8592666667,52.5299883333,9187409,STEN FJORD,120,25,21,,70,Cargo ships
2,316003980,1479133314,-55.8586366667,52.53007,9187409,STEN FJORD,120,25,21,,70,Cargo ships
3,316003980,1479133351,-55.8548516667,52.530595,9187409,STEN FJORD,120,25,21,,70,Cargo ships
4,316003980,1479133392,-55.8503783333,52.5307766667,9187409,STEN FJORD,120,25,21,,70,Cargo ships
5,316003980,1479133417,-55.8477566667,52.5306816667,9187409,STEN FJORD,120,25,21,,70,Cargo ships
6,316003980,1479133422,-55.84722,52.5306433333,9187409,STEN FJORD,120,25,21,,70,Cargo ships
7,316003980,1479133447,-55.8445116667,52.5304766667,9187409,STEN FJORD,120,25,21,,70,Cargo ships
8,316003980,1479133458,-55.8432116667,52.5303483333,9187409,STEN FJORD,120,25,21,,70,Cargo ships
9,316003980,1479133481,-55.8408066667,52.5299633333,9187409,STEN FJORD,120,25,21,,70,Cargo ships
10,316003980,1479133506,-55.8382666667,52.52938,9187409,STEN FJORD,120,25,21,,70,Cargo ships
11,316003980,1479133518,-55.837185,52.5290616667,9187409,STEN FJORD,120,25,21,,70,Cargo ships
12,316003980,1480673143,-55.8443616667,52.530795,9187409,STEN FJORD,120,25,21,,70,Cargo ships
13,316003980,1480771670,-55.8577683333,52.5301266667,9187409,STEN FJORD,120,25,21,,70,Cargo ships
14,316003980,1480771837,-55.8398066667,52.5304133333,9187409,STEN FJORD,120,25,21,,70,Cargo ships
15,316003980,1480771851,-55.8385566667,52.5300416667,9187409,STEN FJORD,120,25,21,,70,Cargo ships
16,316003980,1480771870,-55.837,52.5293866667,9187409,STEN FJORD,120,25,21,,70,Cargo ships
17,316005649,1463334688,-55.7621266667,52.5787216667,,SMIT HYACK,7,6,3,4,52,Tugs
18,316010310,1475985812,-55.76994,52.5593966667,,MISS MCKENZIE 1,7,14,6,2,30,Fishing
19,316010310,1476029554,-55.76995,52.5593983333,,MISS MCKENZIE 1,7,14,6,2,30,Fishing
20,316010310,1476029733,-55.76994,52.5593716667,,MISS MCKENZIE 1,7,14,6,2,30,Fishing
21,316013840,1462433482,-55.8560266667,52.530325,9051399,NANNY,96,20,9,10,10,
22,316013840,1462433503,-55.85624,52.5302983333,9051399,NANNY,96,20,9,10,10,
23,316013840,1462433522,-55.8564216667,52.5302716667,9051399,NANNY,96,20,9,10,10,
24,316013840,1462433542,-55.8565566667,52.5302533333,9051399,NANNY,96,20,9,10,10,
25,316013840,1462433563,-55.8566566667,52.5302383333,9051399,NANNY,96,20,9,10,10,
26,316013840,1462433602,-55.856845,52.5302166667,9051399,NANNY,96,20,9,10,10,
27,316013840,1462433623,-55.856855,52.5301933333,9051399,NANNY,96,20,9,10,10,
28,316013840,1462433642,-55.8568666667,52.5302,9051399,NANNY,96,20,9,10,10,
29,316013840,1462433662,-55.8568666667,52.5302083333,9051399,NANNY,96,20,9,10,10,
30,316013840,1462433682,-55.85686,52.5302116667,9051399,NANNY,96,20,9,10,10,
31,316013840,1462433703,-55.85687,52.5302183333,9051399,NANNY,96,20,9,10,10,
32,316013840,1462433723,-55.856875,52.5302166667,9051399,NANNY,96,20,9,10,10,
33,316013840,1462433763,-55.8568283333,52.530235,9051399,NANNY,96,20,9,10,10,
34,316058000,1465826516,-55.8357166667,52.5292,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
35,316058000,1465826543,-55.8378166667,52.5296833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
36,316058000,1465826556,-55.8388833333,52.5299,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
37,316058000,1465826575,-55.84025,52.5301666667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
38,316058000,1465826617,-55.8432166667,52.5305833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
39,316058000,1465826666,-55.8463333333,52.5309,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
40,316058000,1465826677,-55.8471,52.5309833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
41,316058000,1465826686,-55.8476,52.5310166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
42,316058000,1465826707,-55.8489333333,52.5311666667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
43,316058000,1465826737,-55.8506,52.53135,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
44,316058000,1465828272,-55.85755,52.53215,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
45,316058000,1465828322,-55.8576333333,52.5322,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
46,316058000,1465828416,-55.8577333333,52.5322,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
47,316058000,1465828424,-55.8578166667,52.5321833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
48,316058000,1465828463,-55.8579,52.53215,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
49,316058000,1465828496,-55.8579666667,52.5321833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
50,316058000,1465828549,-55.85805,52.5321833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
51,316058000,1465828557,-55.8580666667,52.5322,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
52,316058000,1465828647,-55.85825,52.5322166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
53,316058000,1465832053,-55.8595333333,52.5303166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
54,316058000,1465832063,-55.8600833333,52.53015,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
55,316058000,1465832086,-55.8614333333,52.5297833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
56,316058000,1465832096,-55.8621666667,52.5296,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
57,316058000,1465832116,-55.8637166667,52.5291333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
58,316058000,1480597023,-55.8641416667,52.528975,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
59,316058000,1480597032,-55.8638616667,52.5290566667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
60,316058000,1480597046,-55.8635233333,52.5291616667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
