,mmsi,time,lon,lat,imo,vessel_name,dim_bow,dim_stern,dim_port,dim_star,ship_type,ship_type_txt
0,316006070,1501847757,-53.6383216667,48.7559316667,,,6,12,6,1,30,Fishing
1,316006980,1504191220,-53.7382,48.7239466667,,GOLDORAK 1,5,10,3,2,30,Fishing
2,316007503,1501787606,-53.7275966667,48.76384,,,6,12,5,1,30,Fishing
3,316008580,1501854010,-53.6380866667,48.7534416667,,SAMANTHA D PATRICK 2,17,,,,30,Fishing
4,316020000,1499553589,-53.64266,48.722655,8320470,EDWARD CORNWALLIS,38,45,9,7,51,Search and rescue vessels
5,316020000,1499592538,-53.6699933333,48.7079316667,8320470,EDWARD CORNWALLIS,38,45,9,7,51,Search and rescue vessels
6,316022731,1510565746,-53.643025,48.7709383333,,CONCEPTION RUN,6,12,4,5,30,Fishing
7,316058000,1484315254,-53.69495,48.7718333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
8,316058000,1484315381,-53.7068666667,48.7718333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
9,316058000,1485172805,-53.6910666667,48.7079833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
10,316058000,1485172855,-53.6936833333,48.7094833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
11,316058000,1485172882,-53.6950333333,48.7103166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
12,316058000,1485172961,-53.69935,48.7125833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
13,316058000,1485172991,-53.7011833333,48.7132,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
14,316058000,1485173051,-53.7049333333,48.7145,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
15,316058000,1485173055,-53.7051833333,48.7145833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
16,316058000,1485173062,-53.70555,48.7147166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
17,316058000,1485173075,-53.7064333333,48.7150333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
18,316058000,1485173081,-53.7068166667,48.71515,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
19,316058000,1485173085,-53.70705,48.71525,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
20,316058000,1485173089,-53.7073,48.7153333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
21,316058000,1485173096,-53.7076833333,48.71545,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
22,316058000,1485183492,-53.6444,48.72745,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
23,316058000,1485183495,-53.6442166667,48.7275,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
24,316058000,1485183554,-53.6389,48.7286666667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
25,316058000,1485183556,-53.6387333333,48.7287,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
26,316058000,1485183560,-53.6383666667,48.7288,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
27,316058000,1485183562,-53.6382166667,48.7288333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
28,316058000,1485183564,-53.6379333333,48.7289,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
29,316058000,1485183566,-53.63785,48.7289333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
30,316058000,1485183568,-53.6377,48.7289666667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
31,316058000,1485183570,-53.6375166667,48.7290166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
32,316058000,1485183572,-53.63735,48.72905,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
33,316058000,1487419367,-53.6463666667,48.7192166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
34,316058000,1487419371,-53.64675,48.7192333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
35,316058000,1487419477,-53.6566,48.7194666667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
36,316058000,1487419481,-53.6569666667,48.7194833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
37,316058000,1487419487,-53.6575333333,48.7195,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
38,316058000,1487419495,-53.6582833333,48.7195166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
39,316058000,1487419496,-53.6584666667,48.7195333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
40,316058000,1487419500,-53.65885,48.7195333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
41,316058000,1487419507,-53.6594166667,48.71955,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
42,316058000,1487419536,-53.6622333333,48.71965,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
43,316058000,1487419726,-53.6801,48.7202333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
44,316058000,1487419782,-53.6853,48.7204,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
45,316058000,1487419786,-53.6856833333,48.7204,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
46,316058000,1487419809,-53.6877333333,48.7204666667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
47,316058000,1487419974,-53.7031,48.7209333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
48,316058000,1487425757,-53.7349,48.7224,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
49,316058000,1487425778,-53.7333333333,48.72215,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
50,316058000,1487426836,-53.659,48.7243833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
51,316058000,1487426870,-53.65715,48.7248333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
52,316058000,1487426887,-53.6562333333,48.7250833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
53,316058000,1487426896,-53.65585,48.7251833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
54,316058000,1487426903,-53.65545,48.7252833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
55,316058000,1487426913,-53.6549666667,48.7254,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
56,316058000,1487426956,-53.653,48.7258833333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
57,316058000,1487426984,-53.6517333333,48.7262,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
58,316058000,1487427003,-53.6508666667,48.7264,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
59,316058000,1487427016,-53.6503333333,48.7265333333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
60,316058000,1487427057,-53.6485666667,48.7269666667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
61,316058000,1487427120,-53.6460166667,48.7276166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
62,316058000,1487427178,-53.6436666667,48.7282,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
63,316058000,1492114257,-53.7112933333,48.7228433333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
64,316058000,1492114431,-53.7216016667,48.7228616667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
65,316058000,1492114457,-53.7231116667,48.7228616667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
66,316058000,1492114464,-53.7234616667,48.7228533333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
67,316058000,1492114474,-53.724045,48.7228466667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
68,316058000,1492114481,-53.7245116667,48.72284,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
69,316058000,1492114491,-53.7250966667,48.7228433333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
70,316058000,1492114494,-53.725215,48.7228433333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
71,316058000,1492114500,-53.7255666667,48.722845,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
72,316058000,1492114504,-53.7258016667,48.7228516667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
73,316058000,1492114507,-53.7260366667,48.72286,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
74,316058000,1492114511,-53.7262733333,48.7228683333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
75,316058000,1492114514,-53.72639,48.7228733333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
76,316058000,1492114527,-53.7272133333,48.72292,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
77,316058000,1492114571,-53.7298116667,48.7230916667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
78,316058000,1492114580,-53.730285,48.7231183333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
79,316058000,1492114589,-53.7308783333,48.723155,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
80,316058000,1492114610,-53.7320666667,48.7232266667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
81,316058000,1492114631,-53.7333766667,48.7233116667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
82,316058000,1492114649,-53.7344516667,48.7233783333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
83,316058000,1492114661,-53.735165,48.7234233333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
84,316058000,1492114700,-53.73744,48.7235633333,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
85,316058000,1492114720,-53.738635,48.7236366667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
86,316058000,1492114741,-53.7399466667,48.7237166667,8320444,GEORGE R PEARKES,33,50,9,7,51,Search and rescue vessels
