FID,OBJECTID,NAME_E,NAME_F,ZONE_E,ZONE_F,URL_E,URL_F,REGULATION,REGLEMENT,KM2,Shape_Leng,Shape_Area,X,Y,LONG,LAT
25,26,St. Anns Bank Marine Protected Area,Zone de protection marine du banc de Sainte-Anne,Zone 2,Zone 2,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-106/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-106/index.html,719.76,131562.5242,719758439.9,2640157.308,422039.2917,-59.52275454,46.01490622
26,27,St. Anns Bank Marine Protected Area,Zone de protection marine du banc de Sainte-Anne,Zone 3,Zone 3,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-106/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-106/index.html,113.26,43266.33878,113257074.2,2680712.792,438118.3125,-58.97651742,45.94353548
27,28,St. Anns Bank Marine Protected Area,Zone de protection marine du banc de Sainte-Anne,Zone 4,Zone 4,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-106/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-106/index.html,221.4,70134.21306,221395220.9,2684652.699,460152.2565,-58.78321177,46.08967588
28,29,St. Anns Bank Marine Protected Area,Zone de protection marine du banc de Sainte-Anne,Zone 1,Zone 1,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-106/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-106/index.html,3309.52,336909.5762,3309520765,2669274.14,456877.2207,-58.9703552,46.13884412
29,30,Eastport – Duck Island Marine Protected Area,Zone de protection marine d'Eastport – île Duck,N/A,S/O,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/eastport/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/eastport/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2005-294/,http://laws.justice.gc.ca/fra/reglements/DORS-2005-294/,1.77,8614.14799,1767966.504,2832093.068,924666.0893,-53.68948839,48.74141094
30,31,Eastport – Round Island Marine Protected Area,Zone de protection marine d'Eastport – île Round,N/A,S/O,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/eastport/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/eastport/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2005-294/,http://laws.justice.gc.ca/fra/reglements/DORS-2005-294/,0.33,3353.402307,330399.4165,2835199.859,904288.0297,-53.82073117,48.58054503
31,32,Gilbert Bay Marine Protected Area,Zone de protection marine de la baie Gilbert,Zone 2,Zone 2,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-fra.html,http://lois-laws.justice.gc.ca/eng/regulations/SOR-2005-295/index.html,http://lois-laws.justice.gc.ca/fra/reglements/DORS-2005-295/index.html,17.87,54053.66547,17866406.01,2451451.888,1177791.04,-55.93381306,52.622526
32,33,Gilbert Bay Marine Protected Area,Zone de protection marine de la baie Gilbert,Zone 1A,Zone 1A,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-fra.html,http://lois-laws.justice.gc.ca/eng/regulations/SOR-2005-295/index.html,http://lois-laws.justice.gc.ca/fra/reglements/DORS-2005-295/index.html,12.88,44488.96175,12881501.36,2442982.009,1175210.68,-56.05962622,52.64767334
33,34,Gilbert Bay Marine Protected Area,Zone de protection marine de la baie Gilbert,Zone 1B,Zone 1B,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-fra.html,http://lois-laws.justice.gc.ca/eng/regulations/SOR-2005-295/index.html,http://lois-laws.justice.gc.ca/fra/reglements/DORS-2005-295/index.html,12.03,68348.8236,12025067.52,2449371.805,1172202.968,-56.00729659,52.59185325
34,35,Gilbert Bay Marine Protected Area,Zone de protection marine de la baie Gilbert,Zone 3,Zone 3,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gilbert/index-fra.html,http://lois-laws.justice.gc.ca/eng/regulations/SOR-2005-295/index.html,http://lois-laws.justice.gc.ca/fra/reglements/DORS-2005-295/index.html,19.62,73138.61067,19621667.15,2459725.141,1177592.42,-55.83452412,52.57762187
35,36,Banc-des-Américains Marine Protected Area,Zone de protection marine du Banc-des-Américains,Zone 1,Zone 1,http://dfo-mpo.gc.ca/oceans/mpa-zpm/american-americains/index-eng.html,http://dfo-mpo.gc.ca/oceans/mpa-zpm/american-americains/index-fra.html,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-50/index.html,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2019-50/index.html,126.55,81920.39394,126550311.2,2201813.338,505562.9739,-63.96483271,48.61796298
36,37,Banc-des-Américains Marine Protected Area,Zone de protection marine du Banc-des-Américains,Zone 2a,Zone 2a,http://dfo-mpo.gc.ca/oceans/mpa-zpm/american-americains/index-eng.html,http://dfo-mpo.gc.ca/oceans/mpa-zpm/american-americains/index-fra.html,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-50/index.html,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2019-50/index.html,570.64,113950.7092,570643309.2,2209561.388,513364.3787,-63.82234685,48.64704584
37,38,Banc-des-Américains Marine Protected Area,Zone de protection marine du Banc-des-Américains,Zone 2b,Zone 2b,http://dfo-mpo.gc.ca/oceans/mpa-zpm/american-americains/index-eng.html,http://dfo-mpo.gc.ca/oceans/mpa-zpm/american-americains/index-fra.html,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-50/index.html,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2019-50/index.html,302.94,84947.63343,302938573.3,2199566.956,498345.972,-64.03719697,48.57008761
38,39,Laurentian Channel Marine Protected Area,Zone de protection marine du chenal Laurentien,Zone 1a,Zone 1a,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-fra.html,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-105/,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2019-105/,1494.86,204404.6064,1494855071,2750033.69,526233.2616,-57.62092569,46.26475736
39,40,Laurentian Channel Marine Protected Area,Zone de protection marine du chenal Laurentien,Zone 1b,Zone 1b,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-fra.html,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-105/,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2019-105/,611.47,112641.1218,611468113.8,2858446.643,498459.7697,-56.67691633,45.51994973
40,41,Laurentian Channel Marine Protected Area,Zone de protection marine du chenal Laurentien,Zone 2a,Zone 2a,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-fra.html,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-105/,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2019-105/,4034.23,332151.7557,4034233872,2677350.769,543075.2998,-58.28544616,46.74516409
41,42,Laurentian Channel Marine Protected Area,Zone de protection marine du chenal Laurentien,Zone 2b,Zone 2b,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/laurentian-laurentien/index-fra.html,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-105/,https://laws-lois.justice.gc.ca/fra/reglements/DORS-2019-105/,5438.97,492122.022,5438972361,2826078.819,498057.4989,-57.02148906,45.68041588
42,43,Tuvaijuittuq Marine Protected Area,Zone de protection marine de Tuvaijuittuq,N/A,S/O,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tuvaijuittuq/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tuvaijuittuq/index-fra.html,http://www.gazette.gc.ca/rp-pr/p2/2019/2019-08-21/html/sor-dors282-eng.html,http://www.gazette.gc.ca/rp-pr/p2/2019/2019-08-21/html/sor-dors282-fra.html,319411.37,6098758.581,3.19411E+11,71434.31217,3804781.436,-86.28647945,83.63341217
